iter	Logloss
0	0.6811887541
1	0.6692643082
2	0.6587562643
3	0.650843718
4	0.6440262864
5	0.6366830169
6	0.6317807274
7	0.6275929862
8	0.6232690164
9	0.6203408345
10	0.6169837503
11	0.6147598913
12	0.6123553651
13	0.6097994475
14	0.6066302503
15	0.6043711692
16	0.603095136
17	0.6011882999
18	0.5998316981
19	0.5983979877
20	0.5969115848
21	0.5953965115
22	0.5937516194
23	0.5925342428
24	0.591342158
25	0.5906468076
26	0.5897742356
27	0.5889334589
28	0.5874367686
29	0.5865222553
30	0.5849219426
31	0.5839854287
32	0.5830835993
33	0.5820732135
34	0.5811466702
35	0.5796314434
36	0.5787055537
37	0.57792578
38	0.5769793302
39	0.5762231359
40	0.5756614418
41	0.5751361971
42	0.5746254271
43	0.5741164884
44	0.5735510225
45	0.5727091975
46	0.5720819128
47	0.5714821504
48	0.5709083904
49	0.5702457516
50	0.5696918715
51	0.5689312016
52	0.5684962676
53	0.5681802898
54	0.5677094179
55	0.5672246019
56	0.566733095
57	0.5661961416
58	0.5656424809
59	0.5652876004
60	0.5647382517
61	0.564141402
62	0.5638324903
63	0.5634588903
64	0.5631139062
65	0.5626215949
66	0.562273887
67	0.5620691389
68	0.5614144599
69	0.5608634329
70	0.5605663874
71	0.560082789
72	0.5595929495
73	0.5593098852
74	0.5587185577
75	0.5585879723
76	0.5581575562
77	0.5577580646
78	0.5574970561
79	0.5570347488
80	0.5566003312
81	0.5563201026
82	0.5560316312
83	0.5555774062
84	0.5552497453
85	0.5550292841
86	0.554587201
87	0.5542056714
88	0.5535447332
89	0.5529914345
90	0.5524916846
91	0.5521815491
92	0.5515530597
93	0.5511696368
94	0.5508432603
95	0.5504456726
96	0.5500782814
97	0.549389364
98	0.5486815781
99	0.548076178
100	0.5474706375
101	0.5468438033
102	0.5462190905
103	0.5457004085
104	0.5452529682
105	0.5447428269
106	0.5440518015
107	0.5436083703
108	0.5429165809
109	0.5423453431
110	0.5416103661
111	0.5409736436
112	0.5402735975
113	0.5395471132
114	0.5386866791
115	0.5381101365
116	0.5374459993
117	0.53673345
118	0.5359562992
119	0.5352953625
120	0.5345162365
121	0.5338566198
122	0.5331684735
123	0.5324349596
124	0.5316995948
125	0.5310818566
126	0.5304377559
127	0.5298533034
128	0.5292440798
129	0.5286185156
130	0.5280735992
131	0.527422084
132	0.5265389848
133	0.5257983785
134	0.5251864256
135	0.5247387631
136	0.5241412828
137	0.5235318955
138	0.5229468476
139	0.5222106241
140	0.5215840086
141	0.5210476679
142	0.5203970349
143	0.5198729272
144	0.5192948857
145	0.518828074
146	0.5180016622
147	0.5174399739
148	0.5168054731
149	0.5162350358
150	0.5158036145
151	0.5150440125
152	0.514535097
153	0.5140305155
154	0.5134836572
155	0.5129172653
156	0.5122810357
157	0.5116967897
158	0.5111857077
159	0.5108000634
160	0.5102033197
161	0.5094971703
162	0.5089893736
163	0.5084573994
164	0.5077694633
165	0.5072615793
166	0.5066605136
167	0.5060858776
168	0.5054962548
169	0.5050699945
170	0.5045433016
171	0.5039700939
172	0.5035728907
173	0.5031546654
174	0.502745657
175	0.5021802715
176	0.501687509
177	0.5012241989
178	0.5005943266
179	0.5001596767
180	0.4997429426
181	0.4991055419
182	0.4984235755
183	0.4979173793
184	0.4974441658
185	0.497037823
186	0.4965426582
187	0.4957675028
188	0.4952878871
189	0.4947858218
190	0.494149734
191	0.4936499925
192	0.493156215
193	0.4925799966
194	0.4921101736
195	0.4916792278
196	0.4912195183
197	0.4906827347
198	0.4901364708
199	0.489634713
200	0.4891270697
201	0.4886094895
202	0.4880780149
203	0.4875517602
204	0.4869515423
205	0.4865679068
206	0.4860542103
207	0.4856629315
208	0.485204685
209	0.4846602366
210	0.48418718
211	0.4836672943
212	0.483214807
213	0.4826490251
214	0.4822282134
215	0.4817636589
216	0.4814258473
217	0.4809889666
218	0.4805816589
219	0.4801360052
220	0.4795888502
221	0.4791155548
222	0.478759045
223	0.4781905744
224	0.4777101551
225	0.4772309631
226	0.4765402532
227	0.4762426199
228	0.4758249798
229	0.4754419647
230	0.4750380392
231	0.4745681996
232	0.474020084
233	0.4737395723
234	0.4732207186
235	0.4727749595
236	0.4722851857
237	0.4718222107
238	0.4713956726
239	0.4710356158
240	0.4707145347
241	0.4701824954
242	0.4697966433
243	0.4691741957
244	0.4687157723
245	0.4682244307
246	0.4678076475
247	0.4672963914
248	0.4669027521
249	0.4666944136
250	0.4662063383
251	0.4658076741
252	0.4652658858
253	0.4648741675
254	0.4645492651
255	0.464084982
256	0.4637421819
257	0.4632478598
258	0.4628381488
259	0.462418171
260	0.4618131827
261	0.4613618874
262	0.4608598359
263	0.4603575019
264	0.4597843663
265	0.4595010612
266	0.4590524337
267	0.4587015886
268	0.4584352438
269	0.4580593558
270	0.457662204
271	0.4573147341
272	0.4570232772
273	0.4565215591
274	0.4559866081
275	0.4556509035
276	0.455162598
277	0.4547306084
278	0.4543538901
279	0.4538406715
280	0.4534232818
281	0.4529095927
282	0.4525444542
283	0.4520512904
284	0.4515552283
285	0.45127974
286	0.4509845221
287	0.4505228942
288	0.4499779529
289	0.4496025034
290	0.4491203517
291	0.4486799635
292	0.4482521414
293	0.4479077473
294	0.4473639488
295	0.4469898779
296	0.4465882777
297	0.4460867782
298	0.4456546168
299	0.4452220475
300	0.4448669738
301	0.4445633787
302	0.4441378474
303	0.4438732292
304	0.4434990307
305	0.4431283082
306	0.44264828
307	0.4423620626
308	0.4420663801
309	0.4417062494
310	0.4413679894
311	0.4409607407
312	0.4404344878
313	0.4400439342
314	0.4397111176
315	0.4394060001
316	0.439014219
317	0.4385842536
318	0.4382477279
319	0.4378813726
320	0.4374530512
321	0.4370275985
322	0.4365440438
323	0.4363234702
324	0.4359884803
325	0.4355933142
326	0.4352419886
327	0.4348669095
328	0.4344543785
329	0.434086586
330	0.4337867665
331	0.4332749216
332	0.4327959736
333	0.4323952728
334	0.4320077808
335	0.4317259187
336	0.4313556751
337	0.4309698273
338	0.4305163607
339	0.4302172758
340	0.4297380149
341	0.4294023084
342	0.4290453873
343	0.4285283302
344	0.4281019858
345	0.4277392333
346	0.4273445698
347	0.4269966183
348	0.4266295719
349	0.4263323724
350	0.4260570234
351	0.4256160495
352	0.4251544724
353	0.4247944054
354	0.4243638944
355	0.424036855
356	0.4236451406
357	0.4232546286
358	0.4229554283
359	0.4226089774
360	0.422083611
361	0.4217306796
362	0.4214980932
363	0.4210471222
364	0.4205375596
365	0.420173774
366	0.4197353063
367	0.4193437597
368	0.4188935782
369	0.4185030316
370	0.418199528
371	0.4180780635
372	0.4178441123
373	0.417442918
374	0.417104552
375	0.4167281917
376	0.4163129577
377	0.4160092454
378	0.4157042238
379	0.4153819978
380	0.4149961685
381	0.4148205533
382	0.4144963878
383	0.414004231
384	0.4137171329
385	0.413500536
386	0.4130279054
387	0.412650811
388	0.412274135
389	0.4118933447
390	0.4115941649
391	0.4112264883
392	0.4108333666
393	0.4104039826
394	0.4100064471
395	0.4095956303
396	0.4093090963
397	0.4090112172
398	0.4085322635
399	0.4082525458
400	0.40786108
401	0.4074356965
402	0.40725101
403	0.4068404496
404	0.4064001981
405	0.4061087572
406	0.4056943543
407	0.4053708028
408	0.4049911173
409	0.4047170082
410	0.4043822972
411	0.4041190084
412	0.4037100656
413	0.4034022684
414	0.4030462526
415	0.4027289373
416	0.4025241628
417	0.4022414711
418	0.4019006167
419	0.4014723428
420	0.4011095923
421	0.4006957272
422	0.4002563412
423	0.3999195998
424	0.3995681689
425	0.3991725694
426	0.3988203616
427	0.3984489723
428	0.3981231348
429	0.3976426251
430	0.3972008151
431	0.3968436689
432	0.3964811381
433	0.3961392091
434	0.3956923537
435	0.3952753829
436	0.3948619485
437	0.3946186275
438	0.3942965345
439	0.3939518589
440	0.3936474492
441	0.3933070798
442	0.3929773422
443	0.3926443503
444	0.3923963378
445	0.392016383
446	0.3916336756
447	0.3912536048
448	0.3909160199
449	0.3904795683
450	0.3901101779
451	0.3898324568
