iter	Passed	Remaining
0	272	123106
1	556	125298
2	854	127891
3	1151	129020
4	1449	129554
5	1775	131945
6	2089	132855
7	2383	132268
8	2762	135952
9	3032	134056
10	3313	132857
11	3610	132385
12	3875	130873
13	4166	130363
14	4460	129955
15	4780	130260
16	5037	128890
17	5309	128023
18	5643	128605
19	5929	128068
20	6168	126599
21	6449	126066
22	6738	125678
23	6966	124242
24	7251	123850
25	7492	122769
26	7748	121966
27	8043	121808
28	8372	122130
29	8677	122058
30	9001	122252
31	9277	121771
32	9510	120756
33	9817	120691
34	10093	120251
35	10388	120039
36	10658	119543
37	10921	118988
38	11217	118791
39	11464	118086
40	11722	117513
41	11973	116881
42	12198	116025
43	12472	115655
44	12784	115631
45	13099	115619
46	13379	115295
47	13613	114578
48	13866	114047
49	14181	114023
50	14436	113507
51	14699	113072
52	14974	112734
53	15236	112298
54	15522	112041
55	15840	112016
56	16090	111507
57	16328	110923
58	16598	110562
59	16856	110128
60	17126	109781
61	17411	109523
62	17652	108995
63	17909	108575
64	18140	108005
65	18378	107488
66	18640	107110
67	18871	106566
68	19141	106246
69	19425	106006
70	19692	105674
71	19974	105418
72	20275	105264
73	20506	104749
74	20790	104504
75	20990	103847
76	21271	103594
77	21533	103248
78	21794	102901
79	22047	102521
80	22307	102172
81	22553	101764
82	22794	101337
83	23099	101199
84	23366	100887
85	23616	100508
86	23884	100207
87	24187	100048
88	24463	99777
89	24730	99470
90	25045	99357
91	25300	99003
92	25578	98739
93	25841	98415
94	26087	98032
95	26325	97625
96	26579	97274
97	26941	97319
98	27201	96989
99	27500	96803
100	27776	96530
101	28086	96376
102	28343	96039
103	28605	95717
104	28877	95431
105	29177	95238
106	29482	95060
107	29767	94815
108	30056	94580
109	30308	94232
110	30607	94029
111	30897	93795
112	31166	93500
113	31463	93287
114	31777	93120
115	32058	92859
116	32347	92618
117	32657	92437
118	32967	92254
119	33218	91903
120	33510	91668
121	33823	91490
122	34100	91211
123	34449	91124
124	34722	90833
125	34995	90542
126	35291	90311
127	35565	90024
128	35841	89743
129	36135	89503
130	36407	89211
131	36721	89020
132	37047	88858
133	37324	88576
134	37609	88313
135	37875	88005
136	38163	87748
137	38441	87467
138	38704	87155
139	39009	86934
140	39276	86630
141	39587	86424
142	39886	86188
143	40150	85876
144	40396	85529
145	40681	85264
146	40987	85041
147	41297	84827
148	41593	84582
149	41870	84298
150	42096	83913
151	42372	83630
152	42644	83338
153	42890	82995
154	43214	82803
155	43507	82553
156	43763	82231
157	44074	82012
158	44396	81813
159	44631	81453
160	44868	81097
161	45166	80854
162	45457	80595
163	45741	80327
164	46025	80056
165	46261	79704
166	46536	79418
167	46857	79211
168	47084	78845
169	47356	78556
170	47639	78284
171	47899	77975
172	48144	77643
173	48386	77307
174	48648	77003
175	48961	76780
176	49252	76521
177	49589	76334
178	49927	76146
179	50166	75806
180	50417	75486
181	50662	75159
182	50913	74840
183	51189	74558
184	51496	74321
185	51756	74016
186	51991	73677
187	52289	73428
188	52580	73167
189	52849	72877
190	53173	72660
191	53477	72417
192	53749	72130
193	54080	71921
194	54378	71667
195	54618	71338
196	54908	71074
197	55162	70764
198	55481	70536
199	55745	70239
200	56029	69967
201	56341	69729
202	56625	69456
203	56899	69172
204	57166	68878
205	57431	68582
206	57710	68304
207	57950	67980
208	58225	67697
209	58494	67408
210	58754	67108
211	59054	66854
212	59286	66523
213	59554	66233
214	59848	65973
215	60075	65638
216	60310	65312
217	60542	64985
218	60785	64671
219	61073	64404
220	61348	64124
221	61592	63812
222	61838	63502
223	62107	63216
224	62402	62956
225	62643	62643
226	62909	62355
227	63144	62036
228	63387	61726
229	63678	61463
230	63915	61148
231	64182	60862
232	64486	60611
233	64751	60324
234	65040	60059
235	65303	59769
236	65602	59512
237	65848	59208
238	66124	58930
239	66379	58635
240	66601	58311
241	66967	58111
242	67201	57798
243	67520	57558
244	67793	57279
245	68089	57018
246	68330	56711
247	68602	56430
248	68854	56134
249	69065	55804
250	69346	55532
251	69622	55256
252	69890	54973
253	70186	54712
254	70432	54412
255	70717	54143
256	70936	53823
257	71206	53542
258	71464	53253
259	71754	52987
260	72052	52727
261	72292	52425
262	72600	52172
263	72875	51896
264	73157	51624
265	73416	51336
266	73717	51077
267	73986	50796
268	74223	50494
269	74507	50223
270	74763	49934
271	75047	49663
272	75270	49353
273	75536	49070
274	75851	48820
275	76107	48532
276	76384	48257
277	76700	48006
278	76937	47706
279	77244	47450
280	77532	47181
281	77843	46926
282	78068	46620
283	78337	46340
284	78632	46076
285	78913	45803
286	79174	45518
287	79439	45236
288	79757	44984
289	80073	44730
290	80340	44449
291	80589	44158
292	80905	43904
293	81187	43631
294	81439	43342
295	81713	43065
296	81977	42782
297	82255	42507
298	82537	42235
299	82832	41968
300	83055	41665
301	83316	41382
302	83594	41107
303	83839	40816
304	84095	40531
305	84341	40241
306	84674	39992
307	84961	39722
308	85192	39425
309	85476	39153
310	85787	38894
311	86012	38595
