Variable,N,Mean,SD,SE,95% Conf.,Interval
SK_ID_CURR,307511.0,278180.5186,102790.1753,185.3622,277817.2138,278543.8233
TARGET,307511.0,0.0807,0.2724,0.0005,0.0798,0.0817
CNT_CHILDREN,307511.0,0.4171,0.7221,0.0013,0.4145,0.4196
AMT_INCOME_TOTAL,307511.0,168797.9193,237123.1463,427.6058,167959.824,169636.0146
AMT_CREDIT,307511.0,599025.9997,402490.777,725.8144,597603.4239,600448.5755
AMT_ANNUITY,307499.0,27108.5739,14493.7373,26.1372,27057.3458,27159.802
AMT_GOODS_PRICE,307233.0,538396.2074,369446.4605,666.5267,537089.8339,539702.581
REGION_POPULATION_RELATIVE,307511.0,0.0209,0.0138,0.0,0.0208,0.0209
DAYS_BIRTH,307511.0,-16036.9951,4363.9886,7.8696,-16052.4193,-16021.5709
DAYS_EMPLOYED,307511.0,63815.0459,141275.7665,254.7636,63315.7165,64314.3753
DAYS_REGISTRATION,307511.0,-4986.1203,3522.8863,6.3528,-4998.5717,-4973.6689
DAYS_ID_PUBLISH,307511.0,-2994.2024,1509.4504,2.722,-2999.5374,-2988.8673
OWN_CAR_AGE,104582.0,12.0611,11.9448,0.0369,11.9887,12.1335
FLAG_MOBIL,307511.0,1.0,0.0018,0.0,1.0,1.0
FLAG_EMP_PHONE,307511.0,0.8199,0.3843,0.0007,0.8185,0.8212
FLAG_WORK_PHONE,307511.0,0.1994,0.3995,0.0007,0.198,0.2008
FLAG_CONT_MOBILE,307511.0,0.9981,0.0432,0.0001,0.998,0.9983
FLAG_PHONE,307511.0,0.2811,0.4495,0.0008,0.2795,0.2827
FLAG_EMAIL,307511.0,0.0567,0.2313,0.0004,0.0559,0.0575
CNT_FAM_MEMBERS,307509.0,2.1527,0.9107,0.0016,2.1494,2.1559
REGION_RATING_CLIENT,307511.0,2.0525,0.509,0.0009,2.0507,2.0543
REGION_RATING_CLIENT_W_CITY,307511.0,2.0315,0.5027,0.0009,2.0297,2.0333
HOUR_APPR_PROCESS_START,307511.0,12.0634,3.2658,0.0059,12.0519,12.075
REG_REGION_NOT_LIVE_REGION,307511.0,0.0151,0.1221,0.0002,0.0147,0.0156
REG_REGION_NOT_WORK_REGION,307511.0,0.0508,0.2195,0.0004,0.05,0.0515
LIVE_REGION_NOT_WORK_REGION,307511.0,0.0407,0.1975,0.0004,0.04,0.0414
REG_CITY_NOT_LIVE_CITY,307511.0,0.0782,0.2684,0.0005,0.0772,0.0791
REG_CITY_NOT_WORK_CITY,307511.0,0.2305,0.4211,0.0008,0.229,0.2319
LIVE_CITY_NOT_WORK_CITY,307511.0,0.1796,0.3838,0.0007,0.1782,0.1809
EXT_SOURCE_1,134133.0,0.5021,0.2111,0.0006,0.501,0.5033
EXT_SOURCE_2,306851.0,0.5144,0.1911,0.0003,0.5137,0.5151
EXT_SOURCE_3,246546.0,0.5109,0.1948,0.0004,0.5101,0.5116
APARTMENTS_AVG,151450.0,0.1174,0.1082,0.0003,0.1169,0.118
BASEMENTAREA_AVG,127568.0,0.0884,0.0824,0.0002,0.088,0.0889
YEARS_BEGINEXPLUATATION_AVG,157504.0,0.9777,0.0592,0.0001,0.9774,0.978
YEARS_BUILD_AVG,103023.0,0.7525,0.1133,0.0004,0.7518,0.7532
COMMONAREA_AVG,92646.0,0.0446,0.076,0.0002,0.0441,0.0451
ELEVATORS_AVG,143620.0,0.0789,0.1346,0.0004,0.0782,0.0796
ENTRANCES_AVG,152683.0,0.1497,0.1,0.0003,0.1492,0.1502
FLOORSMAX_AVG,154491.0,0.2263,0.1446,0.0004,0.2256,0.227
FLOORSMIN_AVG,98869.0,0.2319,0.1614,0.0005,0.2309,0.2329
LANDAREA_AVG,124921.0,0.0663,0.0812,0.0002,0.0659,0.0668
LIVINGAPARTMENTS_AVG,97312.0,0.1008,0.0926,0.0003,0.1002,0.1014
LIVINGAREA_AVG,153161.0,0.1074,0.1106,0.0003,0.1068,0.108
NONLIVINGAPARTMENTS_AVG,93997.0,0.0088,0.0477,0.0002,0.0085,0.0091
NONLIVINGAREA_AVG,137829.0,0.0284,0.0695,0.0002,0.028,0.0287
APARTMENTS_MODE,151450.0,0.1142,0.1079,0.0003,0.1137,0.1148
BASEMENTAREA_MODE,127568.0,0.0875,0.0843,0.0002,0.0871,0.088
YEARS_BEGINEXPLUATATION_MODE,157504.0,0.9771,0.0646,0.0002,0.9767,0.9774
YEARS_BUILD_MODE,103023.0,0.7596,0.1101,0.0003,0.759,0.7603
COMMONAREA_MODE,92646.0,0.0426,0.0744,0.0002,0.0421,0.043
ELEVATORS_MODE,143620.0,0.0745,0.1323,0.0003,0.0738,0.0752
ENTRANCES_MODE,152683.0,0.1452,0.101,0.0003,0.1447,0.1457
FLOORSMAX_MODE,154491.0,0.2223,0.1437,0.0004,0.2216,0.223
FLOORSMIN_MODE,98869.0,0.2281,0.1612,0.0005,0.2271,0.2291
LANDAREA_MODE,124921.0,0.065,0.0818,0.0002,0.0645,0.0654
LIVINGAPARTMENTS_MODE,97312.0,0.1056,0.0979,0.0003,0.105,0.1063
LIVINGAREA_MODE,153161.0,0.106,0.1118,0.0003,0.1054,0.1065
NONLIVINGAPARTMENTS_MODE,93997.0,0.0081,0.0463,0.0002,0.0078,0.0084
NONLIVINGAREA_MODE,137829.0,0.027,0.0703,0.0002,0.0267,0.0274
APARTMENTS_MEDI,151450.0,0.1178,0.1091,0.0003,0.1173,0.1184
BASEMENTAREA_MEDI,127568.0,0.088,0.0822,0.0002,0.0875,0.0884
YEARS_BEGINEXPLUATATION_MEDI,157504.0,0.9778,0.0599,0.0002,0.9775,0.978
YEARS_BUILD_MEDI,103023.0,0.7557,0.1121,0.0003,0.7551,0.7564
COMMONAREA_MEDI,92646.0,0.0446,0.0761,0.0003,0.0441,0.0451
ELEVATORS_MEDI,143620.0,0.0781,0.1345,0.0004,0.0774,0.0788
ENTRANCES_MEDI,152683.0,0.1492,0.1004,0.0003,0.1487,0.1497
FLOORSMAX_MEDI,154491.0,0.2259,0.1451,0.0004,0.2252,0.2266
FLOORSMIN_MEDI,98869.0,0.2316,0.1619,0.0005,0.2306,0.2326
LANDAREA_MEDI,124921.0,0.0672,0.0822,0.0002,0.0667,0.0676
LIVINGAPARTMENTS_MEDI,97312.0,0.102,0.0936,0.0003,0.1014,0.1025
LIVINGAREA_MEDI,153161.0,0.1086,0.1123,0.0003,0.108,0.1092
NONLIVINGAPARTMENTS_MEDI,93997.0,0.0087,0.0474,0.0002,0.0083,0.009
NONLIVINGAREA_MEDI,137829.0,0.0282,0.0702,0.0002,0.0279,0.0286
TOTALAREA_MODE,159080.0,0.1025,0.1075,0.0003,0.102,0.1031
OBS_30_CNT_SOCIAL_CIRCLE,306490.0,1.4222,2.401,0.0043,1.4137,1.4307
DEF_30_CNT_SOCIAL_CIRCLE,306490.0,0.1434,0.4467,0.0008,0.1418,0.145
OBS_60_CNT_SOCIAL_CIRCLE,306490.0,1.4053,2.3798,0.0043,1.3969,1.4137
DEF_60_CNT_SOCIAL_CIRCLE,306490.0,0.1,0.3623,0.0007,0.0988,0.1013
DAYS_LAST_PHONE_CHANGE,307510.0,-962.8588,826.8085,1.491,-965.7811,-959.9365
FLAG_DOCUMENT_2,307511.0,0.0,0.0065,0.0,0.0,0.0001
FLAG_DOCUMENT_3,307511.0,0.71,0.4538,0.0008,0.7084,0.7116
FLAG_DOCUMENT_4,307511.0,0.0001,0.009,0.0,0.0,0.0001
FLAG_DOCUMENT_5,307511.0,0.0151,0.122,0.0002,0.0147,0.0155
FLAG_DOCUMENT_6,307511.0,0.0881,0.2834,0.0005,0.0871,0.0891
FLAG_DOCUMENT_7,307511.0,0.0002,0.0139,0.0,0.0001,0.0002
FLAG_DOCUMENT_8,307511.0,0.0814,0.2734,0.0005,0.0804,0.0823
FLAG_DOCUMENT_9,307511.0,0.0039,0.0623,0.0001,0.0037,0.0041
FLAG_DOCUMENT_10,307511.0,0.0,0.0048,0.0,0.0,0.0
FLAG_DOCUMENT_11,307511.0,0.0039,0.0624,0.0001,0.0037,0.0041
FLAG_DOCUMENT_12,307511.0,0.0,0.0026,0.0,-0.0,0.0
FLAG_DOCUMENT_13,307511.0,0.0035,0.0593,0.0001,0.0033,0.0037
FLAG_DOCUMENT_14,307511.0,0.0029,0.0541,0.0001,0.0027,0.0031
FLAG_DOCUMENT_15,307511.0,0.0012,0.0348,0.0001,0.0011,0.0013
FLAG_DOCUMENT_16,307511.0,0.0099,0.0991,0.0002,0.0096,0.0103
FLAG_DOCUMENT_17,307511.0,0.0003,0.0163,0.0,0.0002,0.0003
FLAG_DOCUMENT_18,307511.0,0.0081,0.0898,0.0002,0.0078,0.0084
FLAG_DOCUMENT_19,307511.0,0.0006,0.0244,0.0,0.0005,0.0007
FLAG_DOCUMENT_20,307511.0,0.0005,0.0225,0.0,0.0004,0.0006
FLAG_DOCUMENT_21,307511.0,0.0003,0.0183,0.0,0.0003,0.0004
AMT_REQ_CREDIT_BUREAU_HOUR,265992.0,0.0064,0.0838,0.0002,0.0061,0.0067
AMT_REQ_CREDIT_BUREAU_DAY,265992.0,0.007,0.1108,0.0002,0.0066,0.0074
AMT_REQ_CREDIT_BUREAU_WEEK,265992.0,0.0344,0.2047,0.0004,0.0336,0.0351
AMT_REQ_CREDIT_BUREAU_MON,265992.0,0.2674,0.916,0.0018,0.2639,0.2709
AMT_REQ_CREDIT_BUREAU_QRT,265992.0,0.2655,0.7941,0.0015,0.2625,0.2685
AMT_REQ_CREDIT_BUREAU_YEAR,265992.0,1.9,1.8693,0.0036,1.8929,1.9071
