Summary Statistics for All Numeric Columns:

| Statistic                   |       SK_ID_PREV |       SK_ID_CURR |      AMT_ANNUITY |   AMT_APPLICATION |       AMT_CREDIT |   AMT_DOWN_PAYMENT |   AMT_GOODS_PRICE |   HOUR_APPR_PROCESS_START |   NFLAG_LAST_APPL_IN_DAY |   RATE_DOWN_PAYMENT |   RATE_INTEREST_PRIMARY |   RATE_INTEREST_PRIVILEGED |    DAYS_DECISION |   SELLERPLACE_AREA |   CNT_PAYMENT |   DAYS_FIRST_DRAWING |   DAYS_FIRST_DUE |   DAYS_LAST_DUE_1ST_VERSION |    DAYS_LAST_DUE |   DAYS_TERMINATION |   NFLAG_INSURED_ON_APPROVAL |
|-----------------------------|------------------|------------------|------------------|-------------------|------------------|--------------------|-------------------|---------------------------|--------------------------|---------------------|-------------------------|----------------------------|------------------|--------------------|---------------|----------------------|------------------|-----------------------------|------------------|--------------------|-----------------------------|
| Count                       |      1.67021e+06 |      1.67021e+06 |      1.29798e+06 |       1.67021e+06 |      1.67021e+06 |   774370           |       1.2847e+06  |               1.67021e+06 |              1.67021e+06 |    774370           |           5951          |               5951         |      1.67021e+06 |        1.67021e+06 |   1.29798e+06 |     997149           | 997149           |            997149           | 997149           |    997149          |               997149        |
| Unique                      |      1.67021e+06 | 338857           | 357959           |   93885           |  86803           |    29278           |   93885           |              24           |              2           |    207033           |            148          |                 25         |   2922           |     2097           |  49           |       2838           |   2892           |              4605           |   2873           |      2830          |                    2        |
| Mean                        |      1.92309e+06 | 278357           |  15955.1         |  175234           | 196114           |     6697.4         |  227847           |              12.4842      |              0.996468    |         0.0796368   |              0.188357   |                  0.773503  |   -880.68        |      313.951       |  16.0541      |     342210           |  13826.3         |             33767.8         |  76582.4         |     81992.3        |                    0.33257  |
| Std                         | 532598           | 102815           |  14782.1         |  292780           | 318575           |    20921.5         |  315397           |               3.33403     |              0.0593296   |         0.107823    |              0.0876711  |                  0.100879  |    779.1         |     7127.44        |  14.5673      |      88916.1         |  72444.9         |            106857           | 149647           |    153304          |                    0.471134 |
| Min                         |      1e+06       | 100001           |      0           |       0           |      0           |       -0.9         |       0           |               0           |              0           |        -1.49788e-05 |              0.0347813  |                  0.37315   |  -2922           |       -1           |   0           |      -2922           |  -2892           |             -2801           |  -2889           |     -2874          |                    0        |
| 25%                         |      1.46186e+06 | 189329           |   6321.78        |   18720           |  24160.5         |        0           |   50841           |              10           |              1           |         0           |              0.160716   |                  0.715645  |  -1300           |       -1           |   6           |     365243           |  -1628           |             -1242           |  -1314           |     -1270          |                    0        |
| 50%                         |      1.92311e+06 | 278714           |  11250           |   71046           |  80541           |     1638           |  112320           |              12           |              1           |         0.0516051   |              0.189122   |                  0.835095  |   -581           |        3           |  12           |     365243           |   -831           |              -361           |   -537           |      -499          |                    0        |
| 75%                         |      2.38428e+06 | 367514           |  20658.4         |  180360           | 216418           |     7740           |  234000           |              15           |              1           |         0.108909    |              0.19333    |                  0.852537  |   -280           |       82           |  24           |     365243           |   -411           |               129           |    -74           |       -44          |                    1        |
| Max                         |      2.84538e+06 | 456255           | 418058           |       6.90516e+06 |      6.90516e+06 |        3.06004e+06 |       6.90516e+06 |              23           |              1           |         1           |              1          |                  1         |     -1           |        4e+06       |  84           |     365243           | 365243           |            365243           | 365243           |    365243          |                    1        |
| Mode                        |      1e+06       | 187868           |   2250           |       0           |      0           |        0           |   45000           |              11           |              1           |         0           |              0.189136   |                  0.835095  |   -245           |       -1           |  12           |     365243           | 365243           |            365243           | 365243           |    365243          |                    0        |
| Range                       |      1.84538e+06 | 356254           | 418058           |       6.90516e+06 |      6.90516e+06 |        3.06005e+06 |       6.90516e+06 |              23           |              1           |         1.00001     |              0.965219   |                  0.62685   |   2921           |        4e+06       |  84           |     368165           | 368135           |            368044           | 368132           |    368117          |                    1        |
| IQR                         | 922422           | 178185           |  14336.6         |  161640           | 192258           |     7740           |  183159           |               5           |              0           |         0.108909    |              0.0326136  |                  0.136892  |   1020           |       83           |  18           |          0           |   1217           |              1371           |   1240           |      1226          |                    1        |
| Variance                    |      2.83661e+11 |      1.05709e+10 |      2.18512e+08 |       8.572e+10   |      1.0149e+11  |        4.37709e+08 |       9.9475e+10  |              11.1157      |              0.00352001  |         0.0116259   |              0.00768622 |                  0.0101765 | 606996           |        5.08005e+07 | 212.206       |          7.90608e+09 |      5.24826e+09 |                 1.14184e+10 |      2.23943e+10 |         2.3502e+10 |                    0.221967 |
| Skewness                    |     -0.000573133 |     -0.00330254  |      2.69257     |       3.39144     |      3.24581     |       36.4766      |       3.07369     |              -0.0256292   |            -16.7359      |         2.10771     |              5.1982     |                 -1.00768   |     -1.05308     |      529.62        |   1.5314      |         -3.60134     |      4.6441      |                 2.77945     |      1.41047     |         1.30638    |                    0.710754 |
| Kurtosis                    |     -1.19975     |     -1.19926     |     15.0698      |      15.7622      |     14.2388      |     2901.84        |      12.8664      |              -0.277768    |            278.091       |         6.20447     |             28.2045     |                  0.255576  |     -0.0378458   |   296881           |   1.86801     |         10.9698      |     19.5706      |                 5.72615     |     -0.0104473   |        -0.293277   |                   -1.49483  |
| Shapiro-Wilk Test Statistic |      0.955485    |      0.955646    |    nan           |       0.603718    |    nan           |      nan           |     nan           |               0.996826    |              0.0320534   |       nan           |            nan          |                nan         |      0.865193    |        0.00867176  | nan           |        nan           |    nan           |               nan           |    nan           |       nan          |                  nan        |
| Shapiro-Wilk Test p-value   |      0           |      0           |      1           |       0           |      1           |        1           |       1           |               0           |              0           |         1           |              1          |                  1         |      0           |        0           |   1           |          1           |      1           |                 1           |      1           |         1          |                    1        |
