Outlier Detection Report
================================================================================
|    | Column                    |               Q1 |               Q3 |       IQR |   Lower Bound |      Upper Bound |   Outliers Count | Outliers Percentage   |      Skewness |       Kurtosis |
|---:|:--------------------------|-----------------:|-----------------:|----------:|--------------:|-----------------:|-----------------:|:----------------------|--------------:|---------------:|
|  0 | SK_ID_PREV                |      1.46186e+06 |      2.38428e+06 | 922422    |      78223.5  |      3.76791e+06 |                0 | 0.00%                 |  -0.000573133 |     -1.19975   |
|  1 | SK_ID_CURR                | 189329           | 367514           | 178185    |     -77948.5  | 634792           |                0 | 0.00%                 |  -0.00330254  |     -1.19926   |
|  2 | AMT_ANNUITY               |   6321.78        |  20658.4         |  14336.6  |     -15183.2  |  42163.4         |            82762 | 4.96%                 |   2.69257     |     15.0698    |
|  3 | AMT_APPLICATION           |  18720           | 180360           | 161640    |    -223740    | 422820           |           208019 | 12.45%                |   3.39144     |     15.7622    |
|  4 | AMT_CREDIT                |  24160.5         | 216418           | 192258    |    -264226    | 504806           |           179989 | 10.78%                |   3.24581     |     14.2388    |
|  5 | AMT_DOWN_PAYMENT          |      0           |   7740           |   7740    |     -11610    |  19350           |            64402 | 3.86%                 |  36.4766      |   2901.84      |
|  6 | AMT_GOODS_PRICE           |  50841           | 234000           | 183159    |    -223898    | 508738           |           145715 | 8.72%                 |   3.07369     |     12.8664    |
|  7 | HOUR_APPR_PROCESS_START   |     10           |     15           |      5    |          2.5  |     22.5         |             1639 | 0.10%                 |  -0.0256292   |     -0.277768  |
|  8 | NFLAG_LAST_APPL_IN_DAY    |      1           |      1           |      0    |          1    |      1           |             5900 | 0.35%                 | -16.7359      |    278.091     |
|  9 | RATE_DOWN_PAYMENT         |      0           |      0.11        |      0.11 |         -0.16 |      0.27        |            43162 | 2.58%                 |   2.10771     |      6.20447   |
| 10 | RATE_INTEREST_PRIMARY     |      0.16        |      0.19        |      0.03 |          0.11 |      0.24        |              234 | 0.01%                 |   5.1982      |     28.2045    |
| 11 | RATE_INTEREST_PRIVILEGED  |      0.72        |      0.85        |      0.14 |          0.51 |      1.06        |               72 | 0.00%                 |  -1.00768     |      0.255576  |
| 12 | DAYS_DECISION             |  -1300           |   -280           |   1020    |      -2830    |   1250           |            17571 | 1.05%                 |  -1.05308     |     -0.0378458 |
| 13 | SELLERPLACE_AREA          |     -1           |     82           |     83    |       -125.5  |    206.5         |           268087 | 16.05%                | 529.62        | 296881         |
| 14 | CNT_PAYMENT               |      6           |     24           |     18    |        -21    |     51           |            55903 | 3.35%                 |   1.5314      |      1.86801   |
| 15 | DAYS_FIRST_DRAWING        | 365243           | 365243           |      0    |     365243    | 365243           |            62705 | 3.75%                 |  -3.60134     |     10.9698    |
| 16 | DAYS_FIRST_DUE            |  -1628           |   -411           |   1217    |      -3453.5  |   1414.5         |            40645 | 2.43%                 |   4.6441      |     19.5706    |
| 17 | DAYS_LAST_DUE_1ST_VERSION |  -1242           |    129           |   1371    |      -3298.5  |   2185.5         |            93865 | 5.62%                 |   2.77945     |      5.72615   |
| 18 | DAYS_LAST_DUE             |  -1314           |    -74           |   1240    |      -3174    |   1786           |           211221 | 12.65%                |   1.41047     |     -0.0104473 |
| 19 | DAYS_TERMINATION          |  -1270           |    -44           |   1226    |      -3109    |   1795           |           225913 | 13.53%                |   1.30638     |     -0.293277  |
| 20 | NFLAG_INSURED_ON_APPROVAL |      0           |      1           |      1    |         -1.5  |      2.5         |                0 | 0.00%                 |   0.710754    |     -1.49483   |

