,,Grouped by TARGET,Grouped by TARGET,Grouped by TARGET,Grouped by TARGET,Grouped by TARGET
,,Missing,Overall,0,1,P-Value
n,,,307511,282686,24825,
"NAME_CONTRACT_TYPE, n (%)",Cash loans,,278232 (90.5),255011 (90.2),23221 (93.5),<0.001
"NAME_CONTRACT_TYPE, n (%)",Revolving loans,,29279 (9.5),27675 (9.8),1604 (6.5),
"CODE_GENDER, n (%)",F,,202448 (65.8),188278 (66.6),14170 (57.1),<0.001
"CODE_GENDER, n (%)",M,,105059 (34.2),94404 (33.4),10655 (42.9),
"CODE_GENDER, n (%)",XNA,,4 (0.0),4 (0.0),,
"FLAG_OWN_CAR, n (%)",N,,202924 (66.0),185675 (65.7),17249 (69.5),<0.001
"FLAG_OWN_CAR, n (%)",Y,,104587 (34.0),97011 (34.3),7576 (30.5),
"FLAG_OWN_REALTY, n (%)",N,,94199 (30.6),86357 (30.5),7842 (31.6),0.001
"FLAG_OWN_REALTY, n (%)",Y,,213312 (69.4),196329 (69.5),16983 (68.4),
"NAME_TYPE_SUITE, n (%)",Children,,3267 (1.1),3026 (1.1),241 (1.0),<0.001
"NAME_TYPE_SUITE, n (%)",Family,,40149 (13.1),37140 (13.1),3009 (12.1),
"NAME_TYPE_SUITE, n (%)",Group of people,,271 (0.1),248 (0.1),23 (0.1),
"NAME_TYPE_SUITE, n (%)",None,,1292 (0.4),1222 (0.4),70 (0.3),
"NAME_TYPE_SUITE, n (%)",Other_A,,866 (0.3),790 (0.3),76 (0.3),
"NAME_TYPE_SUITE, n (%)",Other_B,,1770 (0.6),1596 (0.6),174 (0.7),
"NAME_TYPE_SUITE, n (%)","Spouse, partner",,11370 (3.7),10475 (3.7),895 (3.6),
"NAME_TYPE_SUITE, n (%)",Unaccompanied,,248526 (80.8),228189 (80.7),20337 (81.9),
"NAME_INCOME_TYPE, n (%)",Businessman,,10 (0.0),10 (0.0),,<0.001
"NAME_INCOME_TYPE, n (%)",Commercial associate,,71617 (23.3),66257 (23.4),5360 (21.6),
"NAME_INCOME_TYPE, n (%)",Maternity leave,,5 (0.0),3 (0.0),2 (0.0),
"NAME_INCOME_TYPE, n (%)",Pensioner,,55362 (18.0),52380 (18.5),2982 (12.0),
"NAME_INCOME_TYPE, n (%)",State servant,,21703 (7.1),20454 (7.2),1249 (5.0),
"NAME_INCOME_TYPE, n (%)",Student,,18 (0.0),18 (0.0),,
