
=== Data Overview Table ===


Overview for Data Type: int64

|    | Column Name                 | Data Type   |   Unique Count |   Missing Count |   Missing Percentage | Missing Value Category   |
|----|-----------------------------|-------------|----------------|-----------------|----------------------|--------------------------|
|  0 | SK_ID_CURR                  | int64       |         307511 |               0 |                    0 | No Missing Values        |
|  1 | TARGET                      | int64       |              2 |               0 |                    0 | No Missing Values        |
|  2 | CNT_CHILDREN                | int64       |             15 |               0 |                    0 | No Missing Values        |
|  3 | DAYS_BIRTH                  | int64       |          17460 |               0 |                    0 | No Missing Values        |
|  4 | DAYS_EMPLOYED               | int64       |          12574 |               0 |                    0 | No Missing Values        |
|  5 | DAYS_ID_PUBLISH             | int64       |           6168 |               0 |                    0 | No Missing Values        |
|  6 | FLAG_MOBIL                  | int64       |              2 |               0 |                    0 | No Missing Values        |
|  7 | FLAG_EMP_PHONE              | int64       |              2 |               0 |                    0 | No Missing Values        |
|  8 | FLAG_WORK_PHONE             | int64       |              2 |               0 |                    0 | No Missing Values        |
|  9 | FLAG_CONT_MOBILE            | int64       |              2 |               0 |                    0 | No Missing Values        |
| 10 | FLAG_PHONE                  | int64       |              2 |               0 |                    0 | No Missing Values        |
| 11 | FLAG_EMAIL                  | int64       |              2 |               0 |                    0 | No Missing Values        |
| 12 | REGION_RATING_CLIENT        | int64       |              3 |               0 |                    0 | No Missing Values        |
| 13 | REGION_RATING_CLIENT_W_CITY | int64       |              3 |               0 |                    0 | No Missing Values        |
| 14 | HOUR_APPR_PROCESS_START     | int64       |             24 |               0 |                    0 | No Missing Values        |
| 15 | REG_REGION_NOT_LIVE_REGION  | int64       |              2 |               0 |                    0 | No Missing Values        |
| 16 | REG_REGION_NOT_WORK_REGION  | int64       |              2 |               0 |                    0 | No Missing Values        |
| 17 | LIVE_REGION_NOT_WORK_REGION | int64       |              2 |               0 |                    0 | No Missing Values        |
| 18 | REG_CITY_NOT_LIVE_CITY      | int64       |              2 |               0 |                    0 | No Missing Values        |
| 19 | REG_CITY_NOT_WORK_CITY      | int64       |              2 |               0 |                    0 | No Missing Values        |
| 20 | LIVE_CITY_NOT_WORK_CITY     | int64       |              2 |               0 |                    0 | No Missing Values        |
| 21 | FLAG_DOCUMENT_2             | int64       |              2 |               0 |                    0 | No Missing Values        |
| 22 | FLAG_DOCUMENT_3             | int64       |              2 |               0 |                    0 | No Missing Values        |
| 23 | FLAG_DOCUMENT_4             | int64       |              2 |               0 |                    0 | No Missing Values        |
| 24 | FLAG_DOCUMENT_5             | int64       |              2 |               0 |                    0 | No Missing Values        |
| 25 | FLAG_DOCUMENT_6             | int64       |              2 |               0 |                    0 | No Missing Values        |
| 26 | FLAG_DOCUMENT_7             | int64       |              2 |               0 |                    0 | No Missing Values        |
| 27 | FLAG_DOCUMENT_8             | int64       |              2 |               0 |                    0 | No Missing Values        |
