Outlier Detection Report
================================================================================
|     | Column                       |        Q1 |        Q3 |       IQR |   Lower Bound |      Upper Bound |   Outliers Count | Outliers Percentage   |      Skewness |      Kurtosis |
|----:|:-----------------------------|----------:|----------:|----------:|--------------:|-----------------:|-----------------:|:----------------------|--------------:|--------------:|
|   0 | SK_ID_CURR                   | 189146    | 367142    | 177997    |     -77850    | 634138           |                0 | 0.00%                 |   -0.00120024 |     -1.19899  |
|   1 | TARGET                       |      0    |      0    |      0    |          0    |      0           |            24825 | 8.07%                 |    3.07816    |      7.47511  |
|   2 | CNT_CHILDREN                 |      0    |      1    |      1    |         -1.5  |      2.5         |             4272 | 1.39%                 |    1.9746     |      7.90411  |
|   3 | AMT_INCOME_TOTAL             | 112500    | 202500    |  90000    |     -22500    | 337500           |            14035 | 4.56%                 |  391.56       | 191787        |
|   4 | AMT_CREDIT                   | 270000    | 808650    | 538650    |    -537975    |      1.61662e+06 |             6562 | 2.13%                 |    1.23478    |      1.93404  |
|   5 | AMT_ANNUITY                  |  16524    |  34596    |  18072    |     -10584    |  61704           |             7504 | 2.44%                 |    1.57978    |      7.70732  |
|   6 | AMT_GOODS_PRICE              | 238500    | 679500    | 441000    |    -423000    |      1.341e+06   |            14728 | 4.79%                 |    1.349      |      2.43192  |
|   7 | REGION_POPULATION_RELATIVE   |      0.01 |      0.03 |      0.02 |         -0.02 |      0.06        |             8412 | 2.74%                 |    1.48801    |      3.26007  |
|   8 | DAYS_BIRTH                   | -19682    | -12413    |   7269    |     -30585.5  |  -1509.5         |                0 | 0.00%                 |   -0.115673   |     -1.04913  |
|   9 | DAYS_EMPLOYED                |  -2760    |   -289    |   2471    |      -6466.5  |   3417.5         |            72217 | 23.48%                |    1.66435    |      0.771612 |
|  10 | DAYS_REGISTRATION            |  -7479.5  |  -2010    |   5469.5  |     -15683.8  |   6194.25        |              659 | 0.21%                 |   -0.590872   |     -0.321347 |
