Summary Statistics for All Numeric Columns:

| Statistic                   |       SK_ID_PREV |       SK_ID_CURR |   MONTHS_BALANCE |   CNT_INSTALMENT |   CNT_INSTALMENT_FUTURE |          SK_DPD |     SK_DPD_DEF |
|-----------------------------|------------------|------------------|------------------|------------------|-------------------------|-----------------|----------------|
| Count                       |      1.00014e+07 |      1.00014e+07 |      1.00014e+07 |      9.97529e+06 |             9.97527e+06 |     1.00014e+07 |    1.00014e+07 |
| Unique                      | 936325           | 337252           |     96           |     73           |            79           |  3400           | 2307           |
| Mean                        |      1.90322e+06 | 278404           |    -35.0126      |     17.0897      |            10.4838      |    11.6069      |    0.654468    |
| Std                         | 535847           | 102764           |     26.0666      |     11.9951      |            11.1091      |   132.714       |   32.7625      |
| Min                         |      1e+06       | 100001           |    -96           |      1           |             0           |     0           |    0           |
| 25%                         |      1.4344e+06  | 189550           |    -54           |     10           |             3           |     0           |    0           |
| 50%                         |      1.89656e+06 | 278654           |    -28           |     12           |             7           |     0           |    0           |
| 75%                         |      2.36896e+06 | 367429           |    -13           |     24           |            14           |     0           |    0           |
| Max                         |      2.8435e+06  | 456255           |     -1           |     92           |            85           |  4231           | 3595           |
| Mode                        |      1.00026e+06 | 265042           |    -10           |     12           |             0           |     0           |    0           |
| Range                       |      1.8435e+06  | 356254           |     95           |     91           |            85           |  4231           | 3595           |
| IQR                         | 934558           | 177879           |     41           |     14           |            11           |     0           |    0           |
| Variance                    |      2.87132e+11 |      1.05604e+10 |    679.466       |    143.881       |           123.411       | 17613           | 1073.38        |
| Skewness                    |      0.0442292   |     -0.00312825  |     -0.672777    |      1.60173     |             1.84675     |    14.8991      |   66.3399      |
| Kurtosis                    |     -1.21618     |     -1.19684     |     -0.710681    |      2.44687     |             3.71333     |   255.322       | 4836.55        |
| Shapiro-Wilk Test Statistic |      0.95946     |      0.957181    |      0.937086    |    nan           |           nan           |     0.0629259   |    0.00538027  |
| Shapiro-Wilk Test p-value   |      0           |      0           |      0           |      1           |             1           |     0           |    0           |
