Outlier Detection Report
================================================================================
|    | Column                     |               Q1 |               Q3 |       IQR |   Lower Bound |      Upper Bound |   Outliers Count | Outliers Percentage   |    Skewness |    Kurtosis |
|---:|:---------------------------|-----------------:|-----------------:|----------:|--------------:|-----------------:|-----------------:|:----------------------|------------:|------------:|
|  0 | SK_ID_PREV                 |      1.43438e+06 |      2.36933e+06 | 934943    |      31970.9  |      3.77174e+06 |                0 | 0.00%                 |  0.0383855  |   -1.21961  |
|  1 | SK_ID_CURR                 | 189517           | 367580           | 178063    |     -77577.5  | 634674           |                0 | 0.00%                 | -0.00183384 |   -1.19948  |
|  2 | MONTHS_BALANCE             |    -55           |    -11           |     44    |       -121    |     55           |                0 | 0.00%                 | -0.59804    |   -0.856152 |
|  3 | AMT_BALANCE                |      0           |  89046.7         |  89046.7  |    -133570    | 222617           |           248146 | 6.46%                 |  2.92017    |   11.7787   |
|  4 | AMT_CREDIT_LIMIT_ACTUAL    |  45000           | 180000           | 135000    |    -157500    | 382500           |           404927 | 10.54%                |  2.05973    |    5.18405  |
|  5 | AMT_DRAWINGS_ATM_CURRENT   |      0           |      0           |      0    |          0    |      0           |           424778 | 11.06%                |  9.66484    |  164.928    |
|  6 | AMT_DRAWINGS_CURRENT       |      0           |      0           |      0    |          0    |      0           |           616869 | 16.06%                | 10.0656     |  184.274    |
|  7 | AMT_DRAWINGS_OTHER_CURRENT |      0           |      0           |      0    |          0    |      0           |            12333 | 0.32%                 | 50.5704     | 3628.01     |
|  8 | AMT_DRAWINGS_POS_CURRENT   |      0           |      0           |      0    |          0    |      0           |           264901 | 6.90%                 | 19.4211     |  713.988    |
|  9 | AMT_INST_MIN_REGULARITY    |      0           |   6633.91        |   6633.91 |      -9950.87 |  16584.8         |           124489 | 3.24%                 |  2.49443    |   10.1825   |
| 10 | AMT_PAYMENT_CURRENT        |    152.37        |   9000           |   8847.63 |     -13119.1  |  22271.4         |           282428 | 7.35%                 | 12.9906     |  315.757    |
| 11 | AMT_PAYMENT_TOTAL_CURRENT  |      0           |   6750           |   6750    |     -10125    |  16875           |           324742 | 8.46%                 | 14.4797     |  393.256    |
| 12 | AMT_RECEIVABLE_PRINCIPAL   |      0           |  85359.2         |  85359.2  |    -128039    | 213398           |           250529 | 6.52%                 |  2.94232    |   11.9585   |
| 13 | AMT_RECIVABLE              |      0           |  88899.5         |  88899.5  |    -133349    | 222249           |           247510 | 6.45%                 |  2.91317    |   11.7196   |
| 14 | AMT_TOTAL_RECEIVABLE       |      0           |  88914.5         |  88914.5  |    -133372    | 222286           |           247473 | 6.44%                 |  2.91268    |   11.7159   |
| 15 | CNT_DRAWINGS_ATM_CURRENT   |      0           |      0           |      0    |          0    |      0           |           424778 | 11.06%                |  6.90666    |   81.5494   |
| 16 | CNT_DRAWINGS_CURRENT       |      0           |      0           |      0    |          0    |      0           |           610360 | 15.89%                | 10.6353     |  177.928    |
| 17 | CNT_DRAWINGS_OTHER_CURRENT |      0           |      0           |      0    |          0    |      0           |            12808 | 0.33%                 | 26.3238     | 1253.26     |
| 18 | CNT_DRAWINGS_POS_CURRENT   |      0           |      0           |      0    |          0    |      0           |           264902 | 6.90%                 | 11.3526     |  192.551    |
| 19 | CNT_INSTALMENT_MATURE_CUM  |      4           |     32           |     28    |        -38    |     74           |            58845 | 1.53%                 |  1.07559    |    0.640329 |
| 20 | SK_DPD                     |      0           |      0           |      0    |          0    |      0           |           153355 | 3.99%                 | 12.947      |  190.373    |
| 21 | SK_DPD_DEF                 |      0           |      0           |      0    |          0    |      0           |            89340 | 2.33%                 | 89.8304     | 9007.74     |

