Summary Statistics for All Numeric Columns:

| Statistic                   |       SK_ID_PREV |       SK_ID_CURR |   MONTHS_BALANCE |       AMT_BALANCE |   AMT_CREDIT_LIMIT_ACTUAL |   AMT_DRAWINGS_ATM_CURRENT |   AMT_DRAWINGS_CURRENT |   AMT_DRAWINGS_OTHER_CURRENT |   AMT_DRAWINGS_POS_CURRENT |   AMT_INST_MIN_REGULARITY |   AMT_PAYMENT_CURRENT |   AMT_PAYMENT_TOTAL_CURRENT |   AMT_RECEIVABLE_PRINCIPAL |     AMT_RECIVABLE |   AMT_TOTAL_RECEIVABLE |   CNT_DRAWINGS_ATM_CURRENT |   CNT_DRAWINGS_CURRENT |   CNT_DRAWINGS_OTHER_CURRENT |   CNT_DRAWINGS_POS_CURRENT |   CNT_INSTALMENT_MATURE_CUM |         SK_DPD |     SK_DPD_DEF |
|-----------------------------|------------------|------------------|------------------|-------------------|---------------------------|----------------------------|------------------------|------------------------------|----------------------------|---------------------------|-----------------------|-----------------------------|----------------------------|-------------------|------------------------|----------------------------|------------------------|------------------------------|----------------------------|-----------------------------|----------------|----------------|
| Count                       |      3.84031e+06 |      3.84031e+06 |      3.84031e+06 |       3.84031e+06 |               3.84031e+06 |                3.0905e+06  |            3.84031e+06 |                  3.0905e+06  |                3.0905e+06  |               3.53508e+06 |           3.07232e+06 |                 3.84031e+06 |                3.84031e+06 |       3.84031e+06 |            3.84031e+06 |                 3.0905e+06 |            3.84031e+06 |                   3.0905e+06 |                 3.0905e+06 |                 3.53508e+06 |    3.84031e+06 |    3.84031e+06 |
| Unique                      | 104307           | 103558           |     96           |       1.3479e+06  |             181           |             2267           |       187005           |               1832           |           168748           |          312266           |      163209           |            182957           |                1.19584e+06 |       1.33888e+06 |            1.33901e+06 |                44          |          129           |                  11          |               133          |               121           |  917           |  378           |
| Mean                        |      1.9045e+06  | 278324           |    -34.5219      |   58300.2         |          153808           |             5961.32        |         7433.39        |                288.17        |             2968.8         |            3540.2         |       10280.5         |              7588.86        |            55965.9         |   58088.8         |        58098.3         |                 0.309449   |            0.703144    |                   0.0048125  |                 0.559479   |                20.8251      |    9.28367     |    0.331622    |
| Std                         | 536469           | 102704           |     26.6678      |  106307           |          165146           |            28225.7         |        33846.1         |               8201.99        |            20796.9         |            5600.15        |       36078.1         |             32006           |           102534           |  105965           |       105972           |                 1.1004     |            3.19035     |                   0.0826386  |                 3.24065    |                20.0515      |   97.5157      |   21.4792      |
| Min                         |      1.00002e+06 | 100006           |    -96           | -420250           |               0           |            -6827.31        |        -6211.62        |                  0           |                0           |               0           |           0           |                 0           |          -423306           | -420250           |      -420250           |                 0          |            0           |                   0          |                 0          |                 0           |    0           |    0           |
| 25%                         |      1.43438e+06 | 189517           |    -55           |       0           |           45000           |                0           |            0           |                  0           |                0           |               0           |         152.37        |                 0           |                0           |       0           |            0           |                 0          |            0           |                   0          |                 0          |                 4           |    0           |    0           |
| 50%                         |      1.89712e+06 | 278396           |    -28           |       0           |          112500           |                0           |            0           |                  0           |                0           |               0           |        2702.7         |                 0           |                0           |       0           |            0           |                 0          |            0           |                   0          |                 0          |                15           |    0           |    0           |
| 75%                         |      2.36933e+06 | 367580           |    -11           |   89046.7         |          180000           |                0           |            0           |                  0           |                0           |            6633.91        |        9000           |              6750           |            85359.2         |   88899.5         |        88914.5         |                 0          |            0           |                   0          |                 0          |                32           |    0           |    0           |
| Max                         |      2.8435e+06  | 456250           |     -1           |       1.5059e+06  |               1.35e+06    |                2.115e+06   |            2.2871e+06  |                  1.52985e+06 |                2.23927e+06 |          202882           |           4.28921e+06 |                 4.27832e+06 |                1.47232e+06 |       1.49334e+06 |            1.49334e+06 |                51          |          165           |                  12          |               165          |               120           | 3260           | 3260           |
| Mode                        |      1.0001e+06  | 186401           |     -4           |       0           |               0           |                0           |            0           |                  0           |                0           |               0           |           0           |                 0           |                0           |       0           |            0           |                 0          |            0           |                   0          |                 0          |                 0           |    0           |    0           |
| Range                       |      1.84348e+06 | 356244           |     95           |       1.92615e+06 |               1.35e+06    |                2.12183e+06 |            2.29331e+06 |                  1.52985e+06 |                2.23927e+06 |          202882           |           4.28921e+06 |                 4.27832e+06 |                1.89562e+06 |       1.91359e+06 |            1.91359e+06 |                51          |          165           |                  12          |               165          |               120           | 3260           | 3260           |
| IQR                         | 934943           | 178063           |     44           |   89046.7         |          135000           |                0           |            0           |                  0           |                0           |            6633.91        |        8847.63        |              6750           |            85359.2         |   88899.5         |        88914.5         |                 0          |            0           |                   0          |                 0          |                28           |    0           |    0           |
| Variance                    |      2.87799e+11 |      1.05482e+10 |    711.169       |       1.13012e+10 |               2.72731e+10 |                7.96689e+08 |            1.14556e+09 |                  6.72726e+07 |                4.32511e+08 |               3.13617e+07 |           1.30163e+09 |                 1.02438e+09 |                1.05131e+10 |       1.12287e+10 |            1.123e+10   |                 1.21088    |           10.1783      |                   0.00682914 |                10.5018     |               402.062       | 9509.31        |  461.357       |
| Skewness                    |      0.0383855   |     -0.00183384  |     -0.59804     |       2.92017     |               2.05973     |                9.66484     |           10.0656      |                 50.5704      |               19.4211      |               2.49443     |          12.9906      |                14.4797      |                2.94232     |       2.91317     |            2.91268     |                 6.90666    |           10.6353      |                  26.3238     |                11.3526     |                 1.07559     |   12.947       |   89.8304      |
| Kurtosis                    |     -1.21961     |     -1.19948     |     -0.856152    |      11.7787      |               5.18405     |              164.928       |          184.274       |               3628.01        |              713.988       |              10.1825      |         315.757       |               393.256       |               11.9585      |      11.7196      |           11.7159      |                81.5494     |          177.928       |                1253.26       |               192.551      |                 0.640329    |  190.373       | 9007.74        |
| Shapiro-Wilk Test Statistic |      0.949904    |      0.95356     |      0.915715    |       0.611842    |               0.798386    |              nan           |            0.226064    |                nan           |              nan           |             nan           |         nan           |                 0.203687    |                0.61378     |       0.613561    |            0.61364     |               nan          |            0.221014    |                 nan          |               nan          |               nan           |    0.0705081   |    0.00333464  |
| Shapiro-Wilk Test p-value   |      0           |      0           |      0           |       0           |               0           |                1           |            0           |                  1           |                1           |               1           |           1           |                 0           |                0           |       0           |            0           |                 1          |            0           |                   1          |                 1          |                 1           |    0           |    0           |
