Variable,Outcome,Count,Percent
NAME_CONTRACT_TYPE,Cash loans,747553,44.76
NAME_CONTRACT_TYPE,Consumer loans,729151,43.66
NAME_CONTRACT_TYPE,Revolving loans,193164,11.57
NAME_CONTRACT_TYPE,XNA,346,0.02
WEEKDAY_APPR_PROCESS_START,TUESDAY,255118,15.27
WEEKDAY_APPR_PROCESS_START,WEDNESDAY,255010,15.27
WEEKDAY_APPR_PROCESS_START,MONDAY,253557,15.18
WEEKDAY_APPR_PROCESS_START,FRIDAY,252048,15.09
WEEKDAY_APPR_PROCESS_START,THURSDAY,249099,14.91
WEEKDAY_APPR_PROCESS_START,SATURDAY,240631,14.41
WEEKDAY_APPR_PROCESS_START,SUNDAY,164751,9.86
FLAG_LAST_APPL_PER_CONTRACT,Y,1661739,99.49
FLAG_LAST_APPL_PER_CONTRACT,N,8475,0.51
NAME_CASH_LOAN_PURPOSE,XAP,922661,55.24
NAME_CASH_LOAN_PURPOSE,XNA,677918,40.59
NAME_CASH_LOAN_PURPOSE,Repairs,23765,1.42
NAME_CASH_LOAN_PURPOSE,Other,15608,0.93
NAME_CASH_LOAN_PURPOSE,Urgent needs,8412,0.5
NAME_CASH_LOAN_PURPOSE,Buying a used car,2888,0.17
NAME_CASH_LOAN_PURPOSE,Building a house or an annex,2693,0.16
NAME_CASH_LOAN_PURPOSE,Everyday expenses,2416,0.14
NAME_CASH_LOAN_PURPOSE,Medicine,2174,0.13
NAME_CASH_LOAN_PURPOSE,Payments on other loans,1931,0.12
NAME_CASH_LOAN_PURPOSE,Education,1573,0.09
NAME_CASH_LOAN_PURPOSE,Journey,1239,0.07
NAME_CASH_LOAN_PURPOSE,Purchase of electronic equipment,1061,0.06
NAME_CASH_LOAN_PURPOSE,Buying a new car,1012,0.06
NAME_CASH_LOAN_PURPOSE,Wedding / gift / holiday,962,0.06
NAME_CASH_LOAN_PURPOSE,Buying a home,865,0.05
NAME_CASH_LOAN_PURPOSE,Car repairs,797,0.05
NAME_CASH_LOAN_PURPOSE,Furniture,749,0.04
NAME_CASH_LOAN_PURPOSE,Buying a holiday home / land,533,0.03
NAME_CASH_LOAN_PURPOSE,Business development,426,0.03
NAME_CASH_LOAN_PURPOSE,Gasification / water supply,300,0.02
NAME_CASH_LOAN_PURPOSE,Buying a garage,136,0.01
NAME_CASH_LOAN_PURPOSE,Hobby,55,0.0
NAME_CASH_LOAN_PURPOSE,Money for a third person,25,0.0
NAME_CASH_LOAN_PURPOSE,Refusal to name the goal,15,0.0
NAME_CONTRACT_STATUS,Approved,1036781,62.07
NAME_CONTRACT_STATUS,Canceled,316319,18.94
NAME_CONTRACT_STATUS,Refused,290678,17.4
NAME_CONTRACT_STATUS,Unused offer,26436,1.58
