Variable,N,Mean,SD,SE,95% Conf.,Interval
SK_ID_PREV,1670214.0,1923089.1353,532597.9587,412.1103,1922281.4135,1923896.8572
SK_ID_CURR,1670214.0,278357.1741,102814.8238,79.5554,278201.2483,278513.0999
AMT_ANNUITY,1297979.0,15955.1207,14782.1373,12.9749,15929.6903,15980.551
AMT_APPLICATION,1670214.0,175233.8604,292779.7624,226.5453,174789.8395,175677.8812
AMT_CREDIT,1670213.0,196114.0212,318574.6165,246.5047,195630.8805,196597.1619
AMT_DOWN_PAYMENT,774370.0,6697.4021,20921.4954,23.7749,6650.8041,6744.0001
AMT_GOODS_PRICE,1284699.0,227847.2793,315396.5579,278.2635,227301.8923,228392.6663
HOUR_APPR_PROCESS_START,1670214.0,12.4842,3.334,0.0026,12.4791,12.4892
NFLAG_LAST_APPL_IN_DAY,1670214.0,0.9965,0.0593,0.0,0.9964,0.9966
RATE_DOWN_PAYMENT,774370.0,0.0796,0.1078,0.0001,0.0794,0.0799
RATE_INTEREST_PRIMARY,5951.0,0.1884,0.0877,0.0011,0.1861,0.1906
RATE_INTEREST_PRIVILEGED,5951.0,0.7735,0.1009,0.0013,0.7709,0.7761
DAYS_DECISION,1670214.0,-880.6797,779.0997,0.6028,-881.8612,-879.4981
SELLERPLACE_AREA,1670214.0,313.9511,7127.4435,5.515,303.1419,324.7604
CNT_PAYMENT,1297984.0,16.0541,14.5673,0.0128,16.029,16.0791
DAYS_FIRST_DRAWING,997149.0,342209.855,88916.1158,89.0431,342035.3335,342384.3766
DAYS_FIRST_DUE,997149.0,13826.2693,72444.8697,72.5484,13684.077,13968.4617
DAYS_LAST_DUE_1ST_VERSION,997149.0,33767.7741,106857.0348,107.0097,33558.0387,33977.5094
DAYS_LAST_DUE,997149.0,76582.4031,149647.4151,149.8612,76288.6802,76876.126
DAYS_TERMINATION,997149.0,81992.3438,153303.5167,153.5225,81691.4449,82293.2428
NFLAG_INSURED_ON_APPROVAL,997149.0,0.3326,0.4711,0.0005,0.3316,0.3335
